Mês; Índice 
2011 Q1;457.8
2011 Q2;464.4
2011 Q3;466.3
2011 Q4;472.8
2012 Q1;474.9
2012 Q2;484.6
2012 Q3;501.2
2012 Q4;508
2013 Q1;513.3
2013 Q2;516.6
2013 Q3;523.6
2013 Q4;535.7
2014 Q1;545.4
2014 Q2;554.6
2014 Q3;547.6
2014 Q4;554.1
2015 Q1;565.3
2015 Q2;579
2015 Q3;589.4
2015 Q4;612
2016 Q1;630.5
2016 Q2;644.5
2016 Q3;655.7
2016 Q4;659
2017 Q1;665.9
2017 Q2;653.4
2017 Q3;645.2
2017 Q4;652.9
2018 Q1;664.6
2018 Q2;681.7
2018 Q3;703.6
2018 Q4;713.8
2019 Q1;714.6
2019 Q2;733.5
2019 Q3;738
2019 Q4;748
2020 Q1;765.7
2020 Q2;783.6
2020 Q3;836.9
2020 Q4;919.1
2021 Q1;984.6
2021 Q2;1057.4
2021 Q3;1086.6
2021 Q4;1094.6
2022 Q1;1141.3
2022 Q2;1184.2
2022 Q3;1184
2022 Q4;1159.7
2023 Q1;1163.2
2023 Q2;1130.9
2023 Q3;1101.6
2023 Q4;1116.4
2024 Q1;1119.3
2024 Q2;1127
2024 Q3;1147.9
2024 Q4;1185.1
2025 Q1;1207.9
2025 Q2;1201.6
2025 Q3;1181.6
